name,city,state_province,country,url
Thunderhead Brewing Company,Kearney,Nebraska,United States,https://www.thunderheadbrewing.com/
Thunderhead Taproom,Omaha,Nebraska,United States,https://www.thunderheadbrewing.com/
Monkish Brewing Co.,Torrance,California,United States,https://www.monkishbrewing.com/
Brouwerij De Ranke,Dottignies,Hainaut,Belgium,https://www.deranke.be/
Weihenstephaner,Freising,Bavaria,Germany,https://www.weihenstephaner.de/
